loss,categorical_accuracy,categorical_crossentropy,val_loss,val_categorical_accuracy,val_categorical_crossentropy
0.0027497289702296257,0.9887397885322571,0.09339876472949982,0.002545828465372324,0.9892525672912598,0.08013832569122314
0.002670985646545887,0.9890222549438477,0.09374365210533142,0.0025663087144494057,0.9891822934150696,0.07943905144929886
0.002712009008973837,0.9889807105064392,0.09229137003421783,0.002565923146903515,0.9891858100891113,0.08138313889503479
0.002732160035520792,0.9887935519218445,0.0946592465043068,0.002572434488683939,0.9891538619995117,0.08126576989889145
0.0026878786738961935,0.9888756275177002,0.09371910244226456,0.0025621121749281883,0.9891737699508667,0.08111050724983215
0.0026684957556426525,0.9891361594200134,0.09318219125270844,0.0025574208702892065,0.9892057180404663,0.08117137104272842
0.0026891177985817194,0.9889359474182129,0.09464150667190552,0.002588113537058234,0.9891108870506287,0.08025234937667847
0.0026216544210910797,0.9891777634620667,0.0925748273730278,0.0025761232245713472,0.9892033934593201,0.08045659214258194
0.0026067199651151896,0.9891880750656128,0.09140930324792862,0.0025780864525586367,0.9891983866691589,0.0806165337562561
0.0026034347247332335,0.9892386794090271,0.09240128844976425,0.002579187508672476,0.9891811013221741,0.07969432324171066
0.002706684172153473,0.9888712763786316,0.09382757544517517,0.002599072875455022,0.9891398549079895,0.08028828352689743
0.002691727364435792,0.9889677166938782,0.09313882142305374,0.002613054122775793,0.9891219735145569,0.08113084733486176
0.0026262525934726,0.9890852570533752,0.09300361573696136,0.0025851153768599033,0.9892077445983887,0.07972154021263123
0.0025886401999741793,0.9891905188560486,0.09134015440940857,0.002577750012278557,0.989212155342102,0.07997269183397293
0.002673337236046791,0.9892076253890991,0.09323927760124207,0.002594259800389409,0.9891934394836426,0.08091172575950623
0.002645464614033699,0.9891365170478821,0.09304607659578323,0.0026026826817542315,0.9891632795333862,0.08033667504787445
0.002682577818632126,0.9888353943824768,0.09375684708356857,0.0025992179289460182,0.9892100691795349,0.081464022397995
0.0025864923372864723,0.9891696572303772,0.09122077375650406,0.002599138766527176,0.9892115592956543,0.0804830864071846
0.0025999487843364477,0.9890927672386169,0.09241289645433426,0.002626323839649558,0.9891369342803955,0.08015360683202744
0.002627881010994315,0.9891315698623657,0.09215952455997467,0.0025859202723950148,0.9892013072967529,0.07953403145074844
0.0026492553297430277,0.9890265464782715,0.09173624962568283,0.0025759206619113684,0.9892616271972656,0.08050142973661423
0.0026437866035848856,0.9890791773796082,0.09231133759021759,0.0025809912476688623,0.989246129989624,0.08005011081695557
0.002638415666297078,0.9889251589775085,0.0927342027425766,0.0025946570094674826,0.9892270565032959,0.07984519749879837
0.0026472252793610096,0.98930823802948,0.09197366237640381,0.002587822964414954,0.9892750978469849,0.08117901533842087
0.0026500385720282793,0.989183247089386,0.0936184823513031,0.00262780231423676,0.9891676306724548,0.08027604967355728
0.0025678284000605345,0.9895099401473999,0.0910474956035614,0.0026062848046422005,0.9892256259918213,0.07995013892650604
0.002621464664116502,0.9890372157096863,0.09201465547084808,0.0026046778075397015,0.9892393946647644,0.08031050115823746
0.0026436964981257915,0.9889561533927917,0.09285295009613037,0.002598457969725132,0.9892326593399048,0.07844319194555283
0.002701398218050599,0.9888154864311218,0.09271928668022156,0.002583107678219676,0.9892902970314026,0.0796860083937645
0.0025836920831352472,0.9892056584358215,0.09200292825698853,0.0025980938225984573,0.9892531037330627,0.07867374271154404
